ID OMM station;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
7037;310;0.900000;49.382999,1.181667
7037;200;7.100000;49.382999,1.181667
7037;130;2.200000;49.382999,1.181667
7037;170;1.700000;49.382999,1.181667
7037;170;3.800000;49.382999,1.181667
7037;200;10.600000;49.382999,1.181667
7037;190;6.500000;49.382999,1.181667
7037;200;8.000000;49.382999,1.181667
7037;200;5.200000;49.382999,1.181667
7037;310;4.500000;49.382999,1.181667
7037;240;2.500000;49.382999,1.181667
7037;200;6.300000;49.382999,1.181667
7037;190;4.800000;49.382999,1.181667
7037;180;3.700000;49.382999,1.181667
7037;260;1.800000;49.382999,1.181667
7037;270;3.200000;49.382999,1.181667
7037;80;3.500000;49.382999,1.181667
7037;90;2.100000;49.382999,1.181667
7037;120;2.200000;49.382999,1.181667
7037;200;10.900000;49.382999,1.181667
7037;190;10.200000;49.382999,1.181667
7037;280;0.600000;49.382999,1.181667
7037;190;5.600000;49.382999,1.181667
7037;280;5.000000;49.382999,1.181667
7037;210;5.700000;49.382999,1.181667
7037;220;3.900000;49.382999,1.181667
7037;200;5.200000;49.382999,1.181667
7037;200;8.500000;49.382999,1.181667
7037;220;2.900000;49.382999,1.181667
7037;190;2.700000;49.382999,1.181667
7037;190;5.500000;49.382999,1.181667
7037;170;2.500000;49.382999,1.181667
7037;170;3.500000;49.382999,1.181667
7037;190;2.700000;49.382999,1.181667
7037;130;1.900000;49.382999,1.181667
7037;190;3.900000;49.382999,1.181667
7037;120;2.100000;49.382999,1.181667
7037;280;5.400000;49.382999,1.181667
7037;220;5.600000;49.382999,1.181667
7037;320;5.800000;49.382999,1.181667
7037;190;8.400000;49.382999,1.181667
7037;170;1.700000;49.382999,1.181667
7037;210;4.900000;49.382999,1.181667
7037;250;1.800000;49.382999,1.181667
7037;230;2.500000;49.382999,1.181667
7037;280;3.300000;49.382999,1.181667
7037;200;12.700000;49.382999,1.181667
7037;170;5.700000;49.382999,1.181667
7037;200;8.900000;49.382999,1.181667
7037;210;3.700000;49.382999,1.181667
7037;180;3.600000;49.382999,1.181667
7037;200;10.800000;49.382999,1.181667
7037;220;4.400000;49.382999,1.181667
7037;150;1.700000;49.382999,1.181667
7037;320;4.100000;49.382999,1.181667
7037;190;10.800000;49.382999,1.181667
7037;180;7.500000;49.382999,1.181667
7037;170;2.700000;49.382999,1.181667
7037;200;7.200000;49.382999,1.181667
7037;220;3.300000;49.382999,1.181667
7037;140;3.000000;49.382999,1.181667
7037;190;7.800000;49.382999,1.181667
7037;330;6.400000;49.382999,1.181667
7037;330;4.000000;49.382999,1.181667
7037;180;8.300000;49.382999,1.181667
7037;260;3.900000;49.382999,1.181667
7037;180;5.400000;49.382999,1.181667
7037;190;1.800000;49.382999,1.181667
7037;260;3.500000;49.382999,1.181667
7037;200;3.100000;49.382999,1.181667
7037;220;6.300000;49.382999,1.181667
7037;220;5.100000;49.382999,1.181667
7037;290;3.700000;49.382999,1.181667
7037;200;11.200000;49.382999,1.181667
7037;190;7.800000;49.382999,1.181667
7037;200;4.600000;49.382999,1.181667
7037;200;11.600000;49.382999,1.181667
7037;190;7.200000;49.382999,1.181667
7037;150;3.000000;49.382999,1.181667
7037;160;3.100000;49.382999,1.181667
7037;170;5.100000;49.382999,1.181667
7037;210;2.300000;49.382999,1.181667
7037;240;3.200000;49.382999,1.181667
7037;180;5.200000;49.382999,1.181667
7037;160;4.600000;49.382999,1.181667
7037;200;4.300000;49.382999,1.181667
7037;340;3.500000;49.382999,1.181667
7037;200;2.500000;49.382999,1.181667
7037;180;4.700000;49.382999,1.181667
7037;150;0.900000;49.382999,1.181667
7037;180;3.800000;49.382999,1.181667
7037;200;10.000000;49.382999,1.181667
7037;150;3.100000;49.382999,1.181667
7037;180;2.100000;49.382999,1.181667
7037;200;2.100000;49.382999,1.181667
7037;220;5.200000;49.382999,1.181667
7037;200;11.400000;49.382999,1.181667
7037;140;2.400000;49.382999,1.181667
7037;0;0.000000;49.382999,1.181667
7037;260;3.000000;49.382999,1.181667
7037;220;3.800000;49.382999,1.181667
7037;130;2.900000;49.382999,1.181667
7037;220;1.700000;49.382999,1.181667
7037;260;2.900000;49.382999,1.181667
7037;170;4.200000;49.382999,1.181667
7037;200;5.400000;49.382999,1.181667
7037;260;1.200000;49.382999,1.181667
7037;180;3.700000;49.382999,1.181667
7037;250;2.400000;49.382999,1.181667
7037;210;2.600000;49.382999,1.181667
7037;170;3.000000;49.382999,1.181667
7037;220;6.200000;49.382999,1.181667
7037;210;4.900000;49.382999,1.181667
7037;210;7.200000;49.382999,1.181667
7037;190;8.300000;49.382999,1.181667
7037;240;2.900000;49.382999,1.181667
7072;200;4.800000;49.209667,4.155333
7072;330;1.100000;49.209667,4.155333
7072;170;3.300000;49.209667,4.155333
7072;130;1.500000;49.209667,4.155333
7072;180;4.300000;49.209667,4.155333
7072;200;4.000000;49.209667,4.155333
7072;260;4.600000;49.209667,4.155333
7072;320;4.100000;49.209667,4.155333
7072;100;3.200000;49.209667,4.155333
7072;130;2.100000;49.209667,4.155333
7072;120;3.200000;49.209667,4.155333
7072;230;3.200000;49.209667,4.155333
7072;180;4.200000;49.209667,4.155333
7072;190;3.100000;49.209667,4.155333
7072;160;5.000000;49.209667,4.155333
7072;160;2.900000;49.209667,4.155333
7072;190;3.400000;49.209667,4.155333
7072;0;0.000000;49.209667,4.155333
7072;270;2.200000;49.209667,4.155333
7072;160;2.300000;49.209667,4.155333
7072;190;6.600000;49.209667,4.155333
7072;200;4.700000;49.209667,4.155333
7072;160;2.200000;49.209667,4.155333
7072;120;3.100000;49.209667,4.155333
7072;210;4.900000;49.209667,4.155333
7072;310;3.800000;49.209667,4.155333
7072;200;2.700000;49.209667,4.155333
7072;100;0.800000;49.209667,4.155333
7072;260;2.500000;49.209667,4.155333
7072;260;2.700000;49.209667,4.155333
7072;200;8.400000;49.209667,4.155333
7072;160;4.600000;49.209667,4.155333
7072;210;3.000000;49.209667,4.155333
7072;190;2.000000;49.209667,4.155333
7072;180;5.900000;49.209667,4.155333
7072;110;3.000000;49.209667,4.155333
7072;110;2.900000;49.209667,4.155333
7072;180;2.400000;49.209667,4.155333
7072;330;5.000000;49.209667,4.155333
7072;110;4.600000;49.209667,4.155333
7072;240;1.600000;49.209667,4.155333
7072;260;3.100000;49.209667,4.155333
7072;270;2.400000;49.209667,4.155333
7072;200;4.400000;49.209667,4.155333
7072;100;2.500000;49.209667,4.155333
7072;230;3.300000;49.209667,4.155333
7072;190;4.600000;49.209667,4.155333
7072;60;1.100000;49.209667,4.155333
7072;80;2.100000;49.209667,4.155333
7072;330;0.800000;49.209667,4.155333
7072;230;3.100000;49.209667,4.155333
7072;220;2.000000;49.209667,4.155333
7072;280;0.800000;49.209667,4.155333
7072;160;3.600000;49.209667,4.155333
7072;110;2.100000;49.209667,4.155333
7072;280;1.100000;49.209667,4.155333
7072;200;7.100000;49.209667,4.155333
7072;200;6.400000;49.209667,4.155333
7072;240;4.100000;49.209667,4.155333
7072;340;1.400000;49.209667,4.155333
7072;160;1.500000;49.209667,4.155333
7072;90;2.400000;49.209667,4.155333
7072;120;2.500000;49.209667,4.155333
7072;150;4.200000;49.209667,4.155333
7072;260;4.400000;49.209667,4.155333
7072;200;5.700000;49.209667,4.155333
7072;200;6.000000;49.209667,4.155333
7072;310;5.500000;49.209667,4.155333
7072;90;2.500000;49.209667,4.155333
7072;80;2.100000;49.209667,4.155333
7072;120;2.700000;49.209667,4.155333
7072;200;6.600000;49.209667,4.155333
7072;220;5.200000;49.209667,4.155333
7072;200;3.700000;49.209667,4.155333
7072;190;1.100000;49.209667,4.155333
7072;200;6.800000;49.209667,4.155333
