Date;Pression station
2020-01-05T01:00:00+01:00;102620
2020-01-05T01:00:00+01:00;99460
2020-01-05T01:00:00+01:00;102430
2020-01-05T01:00:00+01:00;102270
2020-01-05T01:00:00+01:00;102310
2020-01-05T01:00:00+01:00;100650
2020-01-05T04:00:00+01:00;100380
2020-01-05T04:00:00+01:00;102750
2020-01-05T04:00:00+01:00;103540
2020-01-05T04:00:00+01:00;102920
2020-01-05T04:00:00+01:00;102130
2020-01-05T04:00:00+01:00;102200
2020-01-05T04:00:00+01:00;102930
2020-01-05T04:00:00+01:00;93640
2020-01-05T04:00:00+01:00;102570
2020-01-05T04:00:00+01:00;99720
2020-01-05T04:00:00+01:00;103570
2020-01-05T04:00:00+01:00;92500
2020-01-05T04:00:00+01:00;98510
2020-01-05T04:00:00+01:00;103130
2020-01-05T04:00:00+01:00;102770
2020-01-05T04:00:00+01:00;102330
2020-01-05T04:00:00+01:00;94730
2020-01-05T04:00:00+01:00;100320
2020-01-05T04:00:00+01:00;102020
2020-01-05T04:00:00+01:00;103600
2020-01-05T04:00:00+01:00;101830
2020-01-05T04:00:00+01:00;102600
2020-01-05T04:00:00+01:00;99460
2020-01-05T04:00:00+01:00;103330
2020-01-05T04:00:00+01:00;103050
2020-01-05T04:00:00+01:00;98740
2020-01-05T04:00:00+01:00;102400
2020-01-05T04:00:00+01:00;102250
2020-01-05T04:00:00+01:00;102000
2020-01-05T04:00:00+01:00;100870
2020-01-05T04:00:00+01:00;101690
2020-01-05T04:00:00+01:00;100650
2020-01-05T04:00:00+01:00;102360
2020-01-05T04:00:00+01:00;103020
2020-01-05T04:00:00+01:00;102310
2020-01-05T04:00:00+01:00;103400
2020-01-05T04:00:00+01:00;99120
2020-01-05T04:00:00+01:00;101700
2020-01-05T04:00:00+01:00;100640
2020-01-05T04:00:00+01:00;102280
2020-01-05T04:00:00+01:00;101810
2020-01-05T04:00:00+01:00;102520
2020-01-05T07:00:00+01:00;98650
2020-01-05T07:00:00+01:00;102720
2020-01-05T07:00:00+01:00;102500
2020-01-05T07:00:00+01:00;92470
2020-01-05T07:00:00+01:00;103340
2020-01-05T07:00:00+01:00;102360
2020-01-05T07:00:00+01:00;100310
2020-01-05T07:00:00+01:00;102260
2020-01-05T07:00:00+01:00;103030
2020-01-05T07:00:00+01:00;102210
2020-01-05T07:00:00+01:00;100330
2020-01-05T07:00:00+01:00;103450
2020-01-05T07:00:00+01:00;102990
2020-01-05T07:00:00+01:00;102910
2020-01-05T07:00:00+01:00;101680
2020-01-05T07:00:00+01:00;102860
2020-01-05T07:00:00+01:00;94690
2020-01-05T07:00:00+01:00;98500
2020-01-05T07:00:00+01:00;101690
2020-01-05T07:00:00+01:00;100620
2020-01-05T07:00:00+01:00;100700
2020-01-05T07:00:00+01:00;103240
2020-01-05T07:00:00+01:00;102320
2020-01-05T07:00:00+01:00;103000
2020-01-05T07:00:00+01:00;99450
2020-01-05T07:00:00+01:00;93570
2020-01-05T07:00:00+01:00;99660
2020-01-05T07:00:00+01:00;100860
2020-01-05T07:00:00+01:00;102130
2020-01-05T07:00:00+01:00;102400
2020-01-05T07:00:00+01:00;101850
2020-01-05T07:00:00+01:00;102620
2020-01-05T07:00:00+01:00;102170
2020-01-05T07:00:00+01:00;102760
2020-01-05T07:00:00+01:00;103460
2020-01-05T07:00:00+01:00;102520
2020-01-05T07:00:00+01:00;99060
2020-01-05T07:00:00+01:00;101830
2020-01-05T07:00:00+01:00;102360
2020-01-05T07:00:00+01:00;101970
2020-01-05T07:00:00+01:00;102250
2020-01-05T07:00:00+01:00;103500
2020-01-05T10:00:00+01:00;102560
2020-01-05T10:00:00+01:00;103220
2020-01-05T10:00:00+01:00;100360
2020-01-05T10:00:00+01:00;100960
2020-01-05T10:00:00+01:00;102900
2020-01-05T10:00:00+01:00;100890
2020-01-05T10:00:00+01:00;102360
2020-01-05T10:00:00+01:00;99650
2020-01-05T10:00:00+01:00;102250
2020-01-05T10:00:00+01:00;98440
2020-01-05T10:00:00+01:00;103460
2020-01-05T10:00:00+01:00;98620
2020-01-05T10:00:00+01:00;102960
2020-01-05T10:00:00+01:00;101970
2020-01-05T10:00:00+01:00;101680
