ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
7471;2020-01-11T04:00:00+01:00;0;320;2.100000;89;93330;0;0;45.074501,3.764000;1.200000;0;0;833;0
7471;2020-01-09T16:00:00+01:00;0;150;4.900000;45;92420;0;0;45.074501,3.764000;9.800000;0;0;833;0
7471;2020-01-14T22:00:00+01:00;0;170;7.400000;81;92270;0;0;45.074501,3.764000;6.400000;0;0;833;0
7471;2020-01-01T07:00:00+01:00;0;200;1.100000;85;93270;0;0;45.074501,3.764000;-4.600000;0;0;833;0
7471;2020-01-04T04:00:00+01:00;0;310;2.100000;89;93340;0;0;45.074501,3.764000;4.700000;0;0;833;0
7471;2020-01-15T19:00:00+01:00;0;290;1.000000;77;92790;0;0;45.074501,3.764000;6.200000;0;0;833;0
7471;2020-01-11T16:00:00+01:00;0;70;1.700000;81;93270;0;0;45.074501,3.764000;2.100000;0;0;833;0
7471;2020-01-11T10:00:00+01:00;0;0;0.000000;90;93420;0;0;45.074501,3.764000;1.100000;0;0;833;0
7471;2020-01-01T19:00:00+01:00;0;220;1.600000;85;93270;0;0;45.074501,3.764000;-0.300000;0;0;833;0
7471;2020-01-03T22:00:00+01:00;0;320;2.100000;88;93390;0;0;45.074501,3.764000;3.900000;0;0;833;0
7471;2020-01-04T22:00:00+01:00;0;330;2.100000;89;93680;0;0;45.074501,3.764000;-0.500000;0;0;833;0
7471;2020-01-04T13:00:00+01:00;0;350;4.800000;77;93490;0;0;45.074501,3.764000;5.300000;0;0;833;0
7471;2020-01-07T07:00:00+01:00;0;240;0.600000;98;93280;0;0;45.074501,3.764000;-0.400000;0;0;833;0
7471;2020-01-08T13:00:00+01:00;0;120;2.200000;83;93300;0;0;45.074501,3.764000;10.500000;0;0;833;0
7471;2020-01-15T22:00:00+01:00;0;140;1.300000;83;92930;0;0;45.074501,3.764000;5.900000;0;0;833;0
7471;2020-01-15T10:00:00+01:00;0;180;6.200000;71;92470;0;0;45.074501,3.764000;7.100000;0;0;833;0
7471;2020-01-09T01:00:00+01:00;0;190;0.500000;100;93120;0;0;45.074501,3.764000;2.200000;0;0;833;0
7471;2020-01-08T16:00:00+01:00;0;130;1.400000;85;93240;0;0;45.074501,3.764000;9.800000;0;0;833;0
7471;2020-01-03T07:00:00+01:00;0;240;1.400000;63;93060;0;0;45.074501,3.764000;4.000000;0;0;833;0
7471;2020-01-10T10:00:00+01:00;0;220;1.400000;80;92700;0;0;45.074501,3.764000;5.900000;0;0;833;0
7471;2020-01-09T19:00:00+01:00;0;210;2.000000;60;92400;0;0;45.074501,3.764000;6.600000;0;0;833;0
7471;2020-01-15T01:00:00+01:00;0;160;6.300000;73;92330;0;0;45.074501,3.764000;6.100000;0;0;833;0
7471;2020-01-02T04:00:00+01:00;0;250;0.700000;95;93130;0;0;45.074501,3.764000;-3.900000;0;0;833;0
7471;2020-01-09T07:00:00+01:00;0;220;1.300000;100;92830;0;0;45.074501,3.764000;1.400000;0;0;833;0
7471;2020-01-08T19:00:00+01:00;0;220;1.600000;94;93240;0;0;45.074501,3.764000;5.300000;0;0;833;0
7471;2020-01-05T16:00:00+01:00;0;70;3.300000;71;93340;0;0;45.074501,3.764000;4.300000;0;0;833;0
7471;2020-01-03T13:00:00+01:00;0;230;1.300000;57;93220;0;0;45.074501,3.764000;7.000000;0;0;833;0
7471;2020-01-12T13:00:00+01:00;0;20;0.500000;60;93110;0;0;45.074501,3.764000;5.400000;0;0;833;0
7471;2020-01-15T04:00:00+01:00;0;160;4.900000;78;92270;0;0;45.074501,3.764000;6.700000;0;0;833;0
7471;2020-01-13T22:00:00+01:00;0;330;2.000000;83;92180;0;0;45.074501,3.764000;0.400000;0;0;833;0
7471;2020-01-07T04:00:00+01:00;0;220;1.100000;97;93170;0;0;45.074501,3.764000;-1.700000;0;0;833;0
7471;2020-01-04T01:00:00+01:00;0;340;1.600000;87;93370;0;0;45.074501,3.764000;4.000000;0;0;833;0
7471;2020-01-01T01:00:00+01:00;0;240;1.200000;84;93270;0;0;45.074501,3.764000;-2.600000;0;0;833;0
7471;2020-01-08T10:00:00+01:00;0;0;0.000000;98;93390;0;0;45.074501,3.764000;7.300000;0;0;833;0
7471;2020-01-11T01:00:00+01:00;0;60;1.200000;90;93270;0;0;45.074501,3.764000;0.200000;0;0;833;0
7471;2020-01-02T07:00:00+01:00;0;240;1.300000;94;93100;0;0;45.074501,3.764000;-4.800000;0;0;833;0
7471;2020-01-02T22:00:00+01:00;0;240;1.000000;89;93040;0;0;45.074501,3.764000;1.200000;0;0;833;0
7471;2020-01-11T22:00:00+01:00;0;240;1.800000;90;93210;0;0;45.074501,3.764000;-0.200000;0;0;833;0
7471;2020-01-13T16:00:00+01:00;0;170;1.900000;58;92230;0;0;45.074501,3.764000;9.400000;0;0;833;0
7471;2020-01-12T10:00:00+01:00;0;0;0.000000;94;93190;0;0;45.074501,3.764000;-4.400000;0;0;833;0
7471;2020-01-13T01:00:00+01:00;0;0;0.000000;82;92960;0;0;45.074501,3.764000;-0.400000;0;0;833;0
7471;2020-01-09T13:00:00+01:00;0;190;4.300000;42;92570;0;0;45.074501,3.764000;12.400000;0;0;833;0
7471;2020-01-15T16:00:00+01:00;0;190;3.700000;67;92630;0;0;45.074501,3.764000;8.100000;0;0;833;0
7471;2020-01-10T01:00:00+01:00;0;210;2.500000;76;92510;0;0;45.074501,3.764000;6.200000;0;0;833;0
7471;2020-01-05T07:00:00+01:00;0;360;2.700000;83;93570;0;0;45.074501,3.764000;0.300000;0;0;833;0
7471;2020-01-04T07:00:00+01:00;0;280;1.400000;90;93360;0;0;45.074501,3.764000;4.000000;0;0;833;0
7471;2020-01-03T01:00:00+01:00;0;180;0.600000;92;93030;0;0;45.074501,3.764000;0.000000;0;0;833;0
7471;2020-01-07T13:00:00+01:00;0;120;1.600000;82;93310;0;0;45.074501,3.764000;6.400000;0;0;833;0
7471;2020-01-11T13:00:00+01:00;0;60;0.900000;84;93400;0;0;45.074501,3.764000;2.000000;0;0;833;0
7471;2020-01-05T01:00:00+01:00;0;310;1.800000;91;93630;0;0;45.074501,3.764000;-1.000000;0;0;833;0
7471;2020-01-05T13:00:00+01:00;0;70;2.100000;69;93450;0;0;45.074501,3.764000;3.700000;0;0;833;0
7471;2020-01-07T22:00:00+01:00;0;280;2.100000;90;93280;0;0;45.074501,3.764000;6.700000;0;0;833;0
7471;2020-01-07T10:00:00+01:00;0;70;0.500000;97;93350;0;0;45.074501,3.764000;0.600000;0;0;833;0
7471;2020-01-02T16:00:00+01:00;0;70;0.600000;65;92980;0;0;45.074501,3.764000;7.600000;0;0;833;0
7471;2020-01-14T01:00:00+01:00;0;180;4.200000;80;92250;0;0;45.074501,3.764000;3.700000;0;0;833;0
7471;2020-01-06T16:00:00+01:00;0;100;0.800000;55;92920;0;0;45.074501,3.764000;11.100000;0;0;833;0
7471;2020-01-10T13:00:00+01:00;0;300;3.700000;85;92750;0;0;45.074501,3.764000;6.200000;0;0;833;0
7471;2020-01-03T19:00:00+01:00;0;310;4.700000;83;93290;0;0;45.074501,3.764000;7.000000;0;0;833;0
7471;2020-01-02T10:00:00+01:00;0;0;0.000000;85;93210;0;0;45.074501,3.764000;-0.200000;0;0;833;0
7471;2020-01-09T04:00:00+01:00;0;290;0.600000;100;92940;0;0;45.074501,3.764000;2.100000;0;0;833;0
7471;2020-01-10T16:00:00+01:00;0;340;2.400000;91;92900;0;0;45.074501,3.764000;5.000000;0;0;833;0
7471;2020-01-13T07:00:00+01:00;0;0;0.000000;87;92720;0;0;45.074501,3.764000;-0.300000;0;0;833;0
7471;2020-01-06T13:00:00+01:00;0;360;1.500000;67;92990;0;0;45.074501,3.764000;8.100000;0;0;833;0
7471;2020-01-01T22:00:00+01:00;0;230;1.300000;90;93270;0;0;45.074501,3.764000;-2.600000;0;0;833;0
7471;2020-01-04T10:00:00+01:00;0;360;3.100000;93;93530;0;0;45.074501,3.764000;4.800000;0;0;833;0
7471;2020-01-13T04:00:00+01:00;0;260;0.900000;86;92840;0;0;45.074501,3.764000;-2.000000;0;0;833;0
7471;2020-01-11T07:00:00+01:00;0;350;1.000000;95;93380;0;0;45.074501,3.764000;0.500000;0;0;833;0
7471;2020-01-08T04:00:00+01:00;0;350;0.800000;97;93230;0;0;45.074501,3.764000;6.200000;0;0;833;0
7471;2020-01-12T07:00:00+01:00;0;0;0.000000;95;93120;0;0;45.074501,3.764000;-6.300000;0;0;833;0
7471;2020-01-09T22:00:00+01:00;0;170;4.300000;72;92450;0;0;45.074501,3.764000;6.200000;0;0;833;0
7471;2020-01-05T19:00:00+01:00;0;70;1.600000;89;93390;0;0;45.074501,3.764000;0.200000;0;0;833;0
7471;2020-01-15T13:00:00+01:00;0;170;4.700000;75;92590;0;0;45.074501,3.764000;7.500000;0;0;833;0
7471;2020-01-14T19:00:00+01:00;0;150;3.600000;80;92310;0;0;45.074501,3.764000;6.400000;0;0;833;0
7471;2020-01-01T13:00:00+01:00;0;90;1.400000;55;93280;0;0;45.074501,3.764000;6.700000;0;0;833;0
7471;2020-01-03T10:00:00+01:00;0;80;1.200000;68;93170;0;0;45.074501,3.764000;3.600000;0;0;833;0
7471;2020-01-14T16:00:00+01:00;0;170;5.100000;73;92300;0;0;45.074501,3.764000;7.400000;0;0;833;0
7471;2020-01-14T04:00:00+01:00;0;150;3.400000;77;92110;0;0;45.074501,3.764000;3.300000;0;0;833;0
7471;2020-01-01T04:00:00+01:00;0;260;1.200000;88;93290;0;0;45.074501,3.764000;-3.900000;0;0;833;0
